customer_id,churn_flag,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,phone_service,gender,senior_citizen,partner,dependents,tech_support,online_security,streaming_tv,streaming_movies,paperless_billing,num_products,last_activity_days
C00202,0,63,28.41,4381.72,One Year,Credit Card,DSL,Yes,Female,0,Yes,Yes,No,Yes,No,No,Yes,2,15
C00203,1,28,59.7,7523.25,One Year,Electronic Check,DSL,Yes,Female,0,No,No,Yes,Yes,Yes,No,Yes,1,60
C00204,0,60,37.6,1841.82,Two Year,Mailed Check,No Internet,Yes,Female,0,Yes,No,No,No,Yes,No,No,4,31
C00205,0,37,36.81,5833.23,Two Year,Electronic Check,Fiber Optic,Yes,Female,1,Yes,Yes,No,No,Yes,Yes,Yes,2,21
C00206,0,22,28.46,4976.27,Month-to-Month,Bank Transfer,No Internet,No,Male,1,No,Yes,Yes,No,No,No,Yes,2,60
C00207,0,68,52.1,5941.33,Month-to-Month,Electronic Check,DSL,Yes,Male,0,No,No,No,Yes,No,No,No,5,58
C00208,0,20,88.17,1795.88,One Year,Electronic Check,No Internet,No,Male,1,No,Yes,No,Yes,No,Yes,No,5,41
C00209,0,68,44.88,5353.46,One Year,Credit Card,Fiber Optic,Yes,Female,0,Yes,Yes,Yes,No,Yes,Yes,Yes,3,46
C00210,0,64,48.11,4034.52,Month-to-Month,Bank Transfer,No Internet,No,Male,0,No,Yes,Yes,No,Yes,Yes,No,3,45
C00211,0,17,77.84,5968.32,Two Year,Bank Transfer,DSL,No,Male,1,No,No,Yes,Yes,No,No,No,5,26
C00212,0,12,37.63,2683.65,One Year,Credit Card,DSL,Yes,Male,1,No,No,Yes,Yes,Yes,Yes,No,4,51
C00213,0,22,100.73,7131.45,Two Year,Electronic Check,No Internet,No,Male,1,No,Yes,Yes,No,Yes,Yes,No,3,36
C00214,0,17,66.82,765.98,Month-to-Month,Mailed Check,Fiber Optic,Yes,Female,1,No,Yes,No,Yes,No,No,Yes,4,52
C00215,0,10,60.28,6476.8,One Year,Bank Transfer,No Internet,No,Male,0,Yes,Yes,No,No,Yes,No,Yes,5,81
C00216,0,65,70.2,6904.43,One Year,Bank Transfer,Fiber Optic,No,Male,0,No,Yes,Yes,No,Yes,No,Yes,3,51
C00217,1,22,34.94,6556.29,Month-to-Month,Electronic Check,Fiber Optic,No,Female,0,No,Yes,Yes,Yes,Yes,No,Yes,2,3
C00218,0,50,75.21,4150.54,One Year,Electronic Check,No Internet,Yes,Female,1,Yes,Yes,No,Yes,No,Yes,Yes,5,14
C00219,1,14,52.68,3563.24,Month-to-Month,Bank Transfer,Fiber Optic,No,Female,0,No,No,Yes,Yes,No,No,No,3,49
C00220,0,64,100.75,7970.47,One Year,Electronic Check,DSL,Yes,Male,1,No,No,Yes,No,Yes,Yes,Yes,4,77
C00221,0,47,35.2,1910.46,Month-to-Month,Mailed Check,No Internet,No,Male,1,Yes,Yes,No,No,No,No,Yes,4,1
C00222,0,29,65.63,4420.32,One Year,Bank Transfer,Fiber Optic,No,Male,1,No,No,No,No,No,Yes,No,3,57
C00223,0,36,73.83,5398.34,Two Year,Mailed Check,DSL,No,Male,0,Yes,Yes,No,No,No,No,No,4,17
C00224,0,52,23.0,5636.85,Two Year,Mailed Check,No Internet,No,Female,1,No,Yes,Yes,No,Yes,No,No,3,50
C00225,0,7,52.73,1711.79,Two Year,Electronic Check,DSL,No,Male,1,Yes,No,No,No,No,No,Yes,3,14
C00226,1,29,85.94,5266.55,One Year,Mailed Check,DSL,No,Male,1,Yes,No,Yes,Yes,Yes,Yes,No,4,59
C00227,0,11,93.83,6565.12,One Year,Electronic Check,DSL,Yes,Female,1,No,Yes,No,No,Yes,Yes,No,1,81
C00228,1,33,48.18,495.15,Two Year,Credit Card,Fiber Optic,Yes,Female,1,Yes,Yes,Yes,No,No,Yes,No,2,3
C00229,0,6,91.87,7301.02,Two Year,Electronic Check,No Internet,Yes,Female,1,Yes,No,Yes,No,Yes,No,Yes,5,40
C00230,1,32,107.1,333.08,Month-to-Month,Mailed Check,No Internet,No,Male,1,No,No,Yes,No,No,Yes,No,2,89
C00231,0,51,97.12,2912.17,Month-to-Month,Credit Card,Fiber Optic,Yes,Male,1,No,Yes,No,Yes,No,No,No,5,66
C00232,0,58,30.59,224.92,Month-to-Month,Electronic Check,No Internet,No,Male,1,Yes,Yes,No,No,Yes,No,Yes,5,34
C00233,0,26,86.58,709.45,Two Year,Mailed Check,DSL,Yes,Male,1,No,Yes,No,Yes,Yes,No,No,2,9
C00234,0,46,48.77,7298.23,Two Year,Bank Transfer,No Internet,Yes,Male,1,Yes,No,Yes,Yes,No,Yes,Yes,3,84
C00235,0,29,108.96,2903.4,Two Year,Bank Transfer,Fiber Optic,No,Female,1,Yes,Yes,No,No,No,No,Yes,4,21
C00236,0,4,63.68,3455.7,Month-to-Month,Electronic Check,DSL,No,Female,0,No,No,No,No,No,Yes,No,1,25
C00237,0,13,31.02,1801.22,One Year,Electronic Check,Fiber Optic,Yes,Male,0,No,Yes,Yes,Yes,No,No,Yes,1,44
C00238,0,39,85.27,4817.06,Two Year,Bank Transfer,DSL,Yes,Male,1,Yes,No,Yes,Yes,Yes,No,No,1,25
C00239,0,15,49.07,4798.95,One Year,Mailed Check,DSL,Yes,Male,1,No,No,No,No,Yes,No,No,2,9
C00240,1,29,109.74,3040.38,One Year,Mailed Check,No Internet,Yes,Male,1,No,No,No,Yes,Yes,Yes,No,2,62
C00241,1,29,108.18,2730.98,One Year,Mailed Check,DSL,No,Male,0,Yes,No,No,No,No,Yes,No,3,26
C00242,1,32,79.05,7091.22,Month-to-Month,Electronic Check,Fiber Optic,Yes,Female,0,Yes,Yes,Yes,No,Yes,No,Yes,1,57
C00243,0,2,31.68,3127.95,One Year,Credit Card,No Internet,No,Female,0,Yes,No,No,Yes,Yes,Yes,No,3,37
C00244,0,47,81.82,3998.66,Two Year,Credit Card,Fiber Optic,No,Female,1,Yes,No,Yes,No,Yes,Yes,No,1,16
C00245,1,22,28.37,2338.11,Month-to-Month,Credit Card,DSL,Yes,Male,1,Yes,No,Yes,No,Yes,No,No,2,37
C00246,0,27,22.64,6315.48,Two Year,Credit Card,Fiber Optic,No,Male,1,Yes,Yes,No,No,No,No,Yes,4,76
C00247,1,67,94.07,3239.84,Two Year,Credit Card,Fiber Optic,Yes,Female,1,No,Yes,No,Yes,Yes,Yes,Yes,4,24
C00248,1,56,38.88,4157.53,Month-to-Month,Electronic Check,DSL,No,Female,0,Yes,Yes,Yes,Yes,Yes,No,No,4,26
C00249,1,21,54.11,2101.52,Two Year,Electronic Check,No Internet,No,Male,1,No,Yes,Yes,Yes,Yes,No,Yes,4,20
C00250,0,47,107.61,7902.51,Two Year,Credit Card,Fiber Optic,Yes,Female,0,No,Yes,No,No,Yes,Yes,Yes,5,9
C00251,0,59,50.32,2402.82,Month-to-Month,Electronic Check,DSL,No,Female,0,Yes,Yes,No,Yes,No,Yes,No,1,87
C00252,1,6,46.68,6188.87,Two Year,Electronic Check,No Internet,No,Male,1,No,No,No,Yes,No,No,No,4,29
C00253,0,19,102.64,3477.22,One Year,Credit Card,No Internet,Yes,Female,0,Yes,No,Yes,Yes,Yes,Yes,No,5,31
C00254,0,57,29.97,1729.12,Two Year,Mailed Check,No Internet,No,Female,0,No,No,Yes,No,No,Yes,No,5,19
C00255,0,69,88.36,6417.78,One Year,Electronic Check,Fiber Optic,No,Female,0,Yes,Yes,No,No,No,No,No,5,20
C00256,1,3,108.93,2735.49,Two Year,Mailed Check,Fiber Optic,Yes,Male,0,Yes,No,Yes,Yes,No,No,Yes,3,87
C00257,0,1,101.12,6935.03,Month-to-Month,Electronic Check,Fiber Optic,Yes,Female,1,Yes,No,Yes,Yes,No,No,No,3,27
C00258,0,58,78.65,7330.53,Month-to-Month,Electronic Check,No Internet,No,Female,1,Yes,Yes,No,Yes,Yes,No,No,5,85
C00259,0,38,48.27,6892.61,Two Year,Credit Card,Fiber Optic,No,Female,0,No,No,Yes,No,No,Yes,No,4,44
C00260,0,15,42.89,376.56,Month-to-Month,Electronic Check,DSL,No,Male,1,No,Yes,No,Yes,No,Yes,No,1,35
C00261,1,34,93.73,6320.25,Two Year,Bank Transfer,Fiber Optic,Yes,Male,0,No,No,No,No,Yes,No,No,2,71
C00262,0,61,99.18,3349.58,Month-to-Month,Bank Transfer,Fiber Optic,No,Female,1,No,Yes,Yes,No,Yes,No,Yes,3,22
C00263,0,35,67.29,7002.41,One Year,Credit Card,No Internet,No,Male,1,No,Yes,Yes,No,Yes,No,No,4,74
C00264,1,64,41.99,5139.84,Two Year,Mailed Check,Fiber Optic,No,Female,1,Yes,Yes,No,Yes,Yes,No,Yes,4,87
C00265,1,25,30.16,6685.78,One Year,Mailed Check,DSL,No,Male,1,Yes,No,Yes,Yes,No,Yes,No,2,15
C00266,0,24,27.85,4045.51,One Year,Mailed Check,No Internet,No,Male,1,Yes,No,No,No,Yes,Yes,No,2,13
C00267,0,12,84.72,4326.7,Two Year,Bank Transfer,DSL,No,Female,0,Yes,Yes,Yes,No,No,No,No,4,4
C00268,0,18,57.81,1240.66,One Year,Mailed Check,No Internet,Yes,Female,1,Yes,Yes,Yes,No,No,No,Yes,2,82
C00269,0,15,101.48,6293.5,Two Year,Mailed Check,No Internet,Yes,Female,0,No,No,Yes,No,Yes,Yes,No,4,56
C00270,1,27,86.57,3413.18,One Year,Credit Card,Fiber Optic,No,Male,0,Yes,No,No,Yes,Yes,Yes,No,2,23
C00271,1,60,37.21,4050.63,Two Year,Mailed Check,DSL,No,Female,1,Yes,Yes,Yes,Yes,No,Yes,No,2,34
C00272,1,46,75.24,6302.27,Two Year,Bank Transfer,No Internet,Yes,Male,0,No,No,No,No,No,Yes,No,4,17
C00273,1,17,59.2,4830.88,Month-to-Month,Bank Transfer,Fiber Optic,Yes,Male,1,No,No,No,No,Yes,No,No,5,28
C00274,0,53,71.95,1688.68,Two Year,Bank Transfer,No Internet,Yes,Female,0,Yes,No,No,No,Yes,Yes,No,4,14
C00275,0,8,86.43,4762.84,Two Year,Credit Card,No Internet,No,Male,0,Yes,Yes,Yes,Yes,Yes,Yes,No,1,34
C00276,1,27,92.56,3320.3,One Year,Credit Card,No Internet,No,Female,1,No,Yes,No,No,No,Yes,Yes,2,75
C00277,0,46,95.94,3809.25,Two Year,Electronic Check,No Internet,No,Male,1,Yes,No,No,Yes,No,No,No,3,57
C00278,0,50,42.86,323.66,Month-to-Month,Mailed Check,No Internet,No,Female,1,Yes,Yes,Yes,No,Yes,No,No,2,77
C00279,1,71,22.8,1759.23,One Year,Credit Card,No Internet,Yes,Male,1,Yes,No,No,Yes,No,Yes,No,1,55
C00280,1,3,86.54,2320.2,One Year,Bank Transfer,Fiber Optic,Yes,Male,0,No,No,No,Yes,Yes,Yes,Yes,3,66
C00281,0,64,29.57,5732.38,Month-to-Month,Bank Transfer,No Internet,Yes,Female,1,Yes,Yes,Yes,No,No,No,Yes,3,37
C00282,0,44,48.34,190.79,One Year,Credit Card,DSL,Yes,Male,0,Yes,Yes,No,Yes,No,No,No,4,68
C00283,0,53,20.34,3329.34,One Year,Credit Card,Fiber Optic,No,Female,0,No,Yes,Yes,Yes,Yes,Yes,Yes,5,76
C00284,0,24,81.35,7399.81,One Year,Credit Card,DSL,No,Male,0,No,No,No,Yes,Yes,No,No,4,26
C00285,0,60,35.04,983.86,One Year,Electronic Check,No Internet,Yes,Male,0,No,No,No,Yes,Yes,Yes,No,3,61
C00286,0,3,78.98,4179.75,Month-to-Month,Bank Transfer,DSL,Yes,Male,0,Yes,Yes,Yes,No,No,No,Yes,3,67
C00287,0,20,109.26,6313.53,Month-to-Month,Electronic Check,No Internet,Yes,Female,0,No,Yes,No,No,No,Yes,No,5,84
C00288,0,46,26.54,7546.0,One Year,Electronic Check,No Internet,Yes,Female,1,Yes,Yes,No,No,Yes,Yes,Yes,2,74
C00289,0,15,26.94,5999.54,One Year,Mailed Check,Fiber Optic,Yes,Female,0,No,No,No,No,No,No,Yes,5,52
C00290,0,25,50.63,5792.47,Month-to-Month,Bank Transfer,Fiber Optic,No,Female,0,Yes,No,Yes,No,Yes,Yes,Yes,4,18
C00291,0,71,97.97,6629.26,Month-to-Month,Bank Transfer,No Internet,No,Female,0,No,No,Yes,Yes,No,No,No,2,53
C00292,1,17,39.4,3624.99,Month-to-Month,Credit Card,Fiber Optic,Yes,Male,1,Yes,Yes,Yes,Yes,Yes,No,No,4,63
C00293,0,9,52.43,6466.17,One Year,Credit Card,DSL,Yes,Male,1,Yes,Yes,Yes,Yes,No,No,No,5,53
C00294,0,38,26.17,162.92,One Year,Mailed Check,Fiber Optic,Yes,Female,0,No,No,Yes,Yes,No,Yes,No,2,27
C00295,0,48,88.68,7404.03,Two Year,Electronic Check,Fiber Optic,No,Male,1,No,Yes,No,No,No,Yes,No,5,31
C00296,1,60,56.75,3602.12,Month-to-Month,Credit Card,DSL,No,Male,0,Yes,Yes,Yes,No,No,Yes,No,1,1
C00297,0,63,88.33,4471.7,One Year,Credit Card,Fiber Optic,No,Male,1,No,Yes,Yes,Yes,Yes,No,No,3,6
C00298,0,2,101.32,2113.57,Month-to-Month,Bank Transfer,No Internet,Yes,Male,0,Yes,Yes,Yes,No,No,Yes,Yes,2,11
C00299,0,11,40.95,5965.99,One Year,Bank Transfer,DSL,No,Female,1,No,No,No,Yes,Yes,Yes,No,3,34
C00300,0,64,92.67,705.42,Month-to-Month,Credit Card,No Internet,Yes,Male,1,No,Yes,No,Yes,Yes,Yes,No,1,84
C00301,0,21,25.32,6993.82,One Year,Bank Transfer,DSL,No,Female,1,Yes,No,Yes,No,Yes,Yes,No,2,63
C00302,0,18,100.9,6642.12,Two Year,Mailed Check,No Internet,No,Female,0,No,No,No,No,Yes,No,Yes,3,53
C00303,0,64,78.57,1806.87,Two Year,Credit Card,No Internet,No,Male,0,No,Yes,No,No,No,Yes,Yes,3,85
C00304,0,38,98.68,6493.66,Month-to-Month,Bank Transfer,Fiber Optic,Yes,Female,0,Yes,No,No,No,Yes,No,Yes,2,85
C00305,1,32,20.02,6312.23,One Year,Mailed Check,No Internet,Yes,Male,1,Yes,No,No,No,No,No,No,3,18
C00306,0,11,35.22,5094.51,One Year,Bank Transfer,Fiber Optic,No,Male,1,No,Yes,Yes,No,No,No,Yes,3,21
C00307,0,45,55.08,3050.81,Month-to-Month,Bank Transfer,DSL,Yes,Male,0,Yes,No,Yes,No,No,No,Yes,2,19
C00308,1,33,54.16,2244.84,One Year,Bank Transfer,No Internet,Yes,Female,1,No,No,No,Yes,No,Yes,No,3,4
C00309,0,41,40.41,1931.09,Month-to-Month,Credit Card,No Internet,Yes,Female,0,No,No,No,No,Yes,Yes,No,3,77
C00310,0,8,54.35,2617.01,One Year,Electronic Check,DSL,Yes,Female,0,Yes,No,No,Yes,No,Yes,No,4,82
C00311,0,11,31.6,7238.11,Month-to-Month,Bank Transfer,DSL,Yes,Male,0,Yes,No,No,Yes,Yes,No,Yes,4,29
C00312,0,51,57.15,713.36,One Year,Mailed Check,No Internet,Yes,Male,0,Yes,No,Yes,No,No,Yes,No,1,25
C00313,1,41,92.21,6648.08,Month-to-Month,Credit Card,DSL,Yes,Male,1,Yes,No,No,Yes,No,No,No,4,56
C00314,1,17,63.12,2856.23,One Year,Credit Card,Fiber Optic,No,Female,1,Yes,No,Yes,No,Yes,Yes,No,4,77
C00315,0,46,21.62,4220.64,Two Year,Mailed Check,DSL,Yes,Male,1,Yes,Yes,No,Yes,No,Yes,No,1,63
C00316,0,32,57.93,6376.44,One Year,Bank Transfer,DSL,Yes,Male,0,No,Yes,Yes,Yes,No,Yes,No,3,27
C00317,0,54,22.45,7086.57,Month-to-Month,Electronic Check,No Internet,No,Female,1,No,Yes,No,Yes,No,No,No,3,60
C00318,0,20,106.96,2823.77,Two Year,Bank Transfer,Fiber Optic,No,Female,0,Yes,No,Yes,No,No,Yes,Yes,4,83
C00319,0,33,31.47,3748.56,One Year,Mailed Check,DSL,No,Female,0,No,No,Yes,Yes,No,No,No,1,49
C00320,0,40,83.69,3374.68,Two Year,Credit Card,Fiber Optic,No,Male,0,No,No,Yes,Yes,Yes,No,Yes,3,65
C00321,0,32,107.55,204.68,One Year,Electronic Check,Fiber Optic,Yes,Male,0,No,Yes,No,Yes,No,No,Yes,5,38
C00322,0,2,94.34,2437.95,Two Year,Credit Card,Fiber Optic,No,Male,0,No,Yes,Yes,No,No,Yes,No,2,83
C00323,0,33,82.94,3727.59,Month-to-Month,Mailed Check,No Internet,No,Female,0,Yes,Yes,No,Yes,Yes,Yes,Yes,2,52
C00324,1,30,95.55,3347.64,One Year,Bank Transfer,DSL,Yes,Female,1,No,No,Yes,No,No,No,Yes,2,1
C00325,0,33,108.36,5803.24,One Year,Electronic Check,No Internet,Yes,Female,1,No,Yes,Yes,Yes,Yes,No,Yes,4,40
C00326,0,26,75.92,3139.95,Month-to-Month,Credit Card,DSL,Yes,Female,1,Yes,Yes,No,Yes,No,No,No,2,81
C00327,0,22,70.33,3966.07,Two Year,Credit Card,DSL,No,Male,1,Yes,No,Yes,Yes,No,No,Yes,2,21
C00328,0,66,76.54,3493.91,Month-to-Month,Credit Card,No Internet,Yes,Male,0,Yes,Yes,No,No,Yes,No,Yes,5,86
C00329,0,38,67.94,5950.95,Month-to-Month,Bank Transfer,Fiber Optic,No,Male,0,Yes,No,No,Yes,No,Yes,Yes,3,15
C00330,0,46,77.16,6917.48,Two Year,Electronic Check,Fiber Optic,Yes,Male,1,No,Yes,No,Yes,No,Yes,Yes,5,50
C00331,1,15,60.49,4301.92,Month-to-Month,Bank Transfer,DSL,Yes,Male,1,Yes,No,No,Yes,Yes,Yes,No,4,48
C00332,0,44,39.66,6336.51,One Year,Bank Transfer,No Internet,No,Male,1,No,No,Yes,Yes,Yes,No,No,2,32
C00333,0,49,30.82,2444.61,One Year,Bank Transfer,Fiber Optic,Yes,Male,1,No,No,Yes,No,No,No,Yes,3,49
C00334,0,61,26.15,4376.82,One Year,Mailed Check,Fiber Optic,Yes,Male,1,Yes,No,No,Yes,Yes,Yes,No,2,68
C00335,0,67,43.7,2827.32,Month-to-Month,Mailed Check,DSL,Yes,Female,1,Yes,No,Yes,Yes,No,Yes,No,2,45
C00336,1,6,24.15,3372.19,One Year,Mailed Check,DSL,Yes,Female,1,Yes,Yes,Yes,Yes,Yes,No,Yes,4,32
C00337,0,9,71.05,5886.07,One Year,Electronic Check,No Internet,Yes,Male,1,Yes,No,No,Yes,No,No,No,2,4
C00338,0,6,45.54,7065.13,One Year,Bank Transfer,DSL,No,Female,0,Yes,No,Yes,No,Yes,No,No,1,65
C00339,0,32,94.21,1059.81,One Year,Bank Transfer,Fiber Optic,No,Male,0,Yes,No,No,Yes,Yes,Yes,Yes,3,71
C00340,0,41,26.68,5113.65,One Year,Mailed Check,Fiber Optic,Yes,Male,0,No,No,Yes,Yes,Yes,No,Yes,3,73
C00341,0,8,40.37,4698.94,One Year,Bank Transfer,Fiber Optic,No,Female,0,No,Yes,Yes,No,Yes,No,No,1,65
C00342,0,50,85.72,1035.48,Month-to-Month,Bank Transfer,Fiber Optic,No,Male,1,No,No,No,Yes,Yes,No,No,4,80
C00343,0,62,73.89,1773.97,One Year,Credit Card,No Internet,No,Male,0,No,Yes,Yes,Yes,Yes,Yes,No,2,18
C00344,0,62,25.8,2556.92,One Year,Bank Transfer,No Internet,Yes,Male,1,Yes,No,Yes,Yes,Yes,No,No,2,54
C00345,0,7,98.95,1418.76,Two Year,Credit Card,DSL,Yes,Male,0,Yes,No,No,No,Yes,Yes,Yes,3,47
C00346,0,4,98.95,2025.46,Month-to-Month,Bank Transfer,DSL,Yes,Male,1,No,Yes,Yes,Yes,Yes,No,Yes,4,6
C00347,0,6,49.74,2214.05,Month-to-Month,Electronic Check,DSL,No,Male,1,No,Yes,No,No,No,No,Yes,4,66
C00348,0,58,50.64,2751.82,Month-to-Month,Mailed Check,No Internet,No,Male,0,No,Yes,Yes,No,Yes,Yes,Yes,4,9
C00349,0,22,109.01,6020.18,Month-to-Month,Credit Card,Fiber Optic,Yes,Female,0,Yes,No,No,No,No,No,Yes,2,68
C00350,0,26,76.36,4618.11,One Year,Mailed Check,DSL,Yes,Female,1,Yes,Yes,No,No,Yes,Yes,No,4,23
C00351,1,3,67.82,7891.35,One Year,Credit Card,Fiber Optic,No,Male,1,Yes,No,No,No,No,No,No,1,43
C00352,0,41,95.43,3376.41,Two Year,Credit Card,DSL,No,Female,1,No,Yes,No,No,No,Yes,Yes,5,51
C00353,0,60,45.68,6055.53,Two Year,Credit Card,DSL,Yes,Male,0,No,Yes,No,No,Yes,No,Yes,4,72
C00354,0,14,58.63,6984.6,Month-to-Month,Electronic Check,DSL,No,Male,0,Yes,No,Yes,Yes,Yes,Yes,Yes,5,25
C00355,0,12,44.1,5463.93,Two Year,Bank Transfer,DSL,No,Male,1,Yes,Yes,Yes,Yes,No,Yes,No,2,80
C00356,0,12,91.02,3353.73,Two Year,Credit Card,DSL,No,Male,0,No,Yes,No,No,No,No,No,4,35
C00357,0,13,71.6,6053.4,Month-to-Month,Electronic Check,Fiber Optic,No,Female,1,No,No,Yes,No,Yes,Yes,No,3,17
C00358,1,25,79.29,1708.97,Month-to-Month,Credit Card,DSL,No,Female,0,Yes,No,No,No,Yes,No,Yes,2,18
C00359,0,45,42.71,2687.66,Two Year,Bank Transfer,Fiber Optic,No,Female,0,No,No,Yes,No,Yes,Yes,Yes,1,27
C00360,0,19,39.82,4418.81,One Year,Credit Card,No Internet,No,Female,0,Yes,Yes,Yes,No,No,No,Yes,1,15
C00361,0,55,63.95,4645.73,Two Year,Electronic Check,DSL,Yes,Male,0,Yes,Yes,No,No,Yes,No,Yes,5,81
C00362,0,45,86.38,274.92,Two Year,Bank Transfer,Fiber Optic,Yes,Female,0,No,Yes,No,Yes,Yes,No,Yes,5,69
C00363,0,8,67.27,7566.4,One Year,Electronic Check,No Internet,No,Male,1,No,Yes,Yes,Yes,Yes,No,No,3,80
C00364,1,53,22.94,5603.36,One Year,Bank Transfer,No Internet,No,Male,1,No,Yes,Yes,No,Yes,Yes,Yes,3,15
C00365,0,55,98.17,4016.06,Month-to-Month,Bank Transfer,No Internet,No,Female,0,Yes,No,No,No,Yes,No,No,1,42
C00366,1,32,25.82,7471.71,Month-to-Month,Mailed Check,Fiber Optic,Yes,Male,1,No,Yes,Yes,No,No,No,No,4,34
C00367,1,51,106.02,3568.85,Two Year,Mailed Check,DSL,Yes,Female,1,No,No,Yes,Yes,No,No,No,1,48
C00368,0,44,22.26,7845.44,One Year,Mailed Check,DSL,No,Female,0,Yes,Yes,No,No,Yes,No,No,1,83
C00369,0,70,82.5,4147.05,Month-to-Month,Bank Transfer,Fiber Optic,Yes,Female,1,Yes,No,Yes,Yes,Yes,No,No,3,8
C00370,0,18,27.4,1002.86,Two Year,Credit Card,DSL,No,Female,0,No,Yes,No,Yes,No,Yes,Yes,5,10
C00371,0,22,101.96,6141.93,One Year,Electronic Check,Fiber Optic,No,Female,1,Yes,Yes,No,Yes,Yes,No,Yes,3,5
C00372,0,37,61.8,5463.29,Two Year,Electronic Check,DSL,No,Male,1,Yes,No,No,No,No,Yes,Yes,3,48
C00373,0,56,32.38,6206.6,Month-to-Month,Electronic Check,No Internet,No,Female,1,Yes,Yes,Yes,No,Yes,Yes,No,3,26
C00374,0,59,50.67,7616.39,Month-to-Month,Mailed Check,DSL,No,Female,1,No,No,Yes,Yes,No,No,No,1,86
C00375,0,3,34.83,6234.27,One Year,Bank Transfer,Fiber Optic,No,Male,1,No,Yes,No,Yes,No,No,No,4,23
C00376,1,28,35.35,4929.56,Two Year,Mailed Check,Fiber Optic,No,Female,1,Yes,Yes,No,Yes,Yes,Yes,No,1,62
C00377,0,35,105.33,6872.74,One Year,Credit Card,No Internet,Yes,Female,1,Yes,No,Yes,Yes,No,Yes,No,2,13
C00378,1,61,60.07,5418.65,Month-to-Month,Bank Transfer,Fiber Optic,No,Male,0,Yes,Yes,Yes,No,Yes,Yes,No,3,9
C00379,0,54,90.99,3324.14,Month-to-Month,Electronic Check,DSL,Yes,Male,0,No,No,Yes,Yes,No,No,Yes,3,20
C00380,0,63,77.56,7096.4,Two Year,Mailed Check,DSL,No,Female,0,Yes,Yes,No,No,Yes,Yes,No,2,57
C00381,0,7,80.88,1853.01,Two Year,Mailed Check,No Internet,No,Male,0,Yes,Yes,No,Yes,Yes,Yes,No,3,24
C00382,0,49,31.85,5745.67,Two Year,Credit Card,Fiber Optic,Yes,Female,1,No,Yes,Yes,No,Yes,No,Yes,3,33
C00383,1,31,41.08,7064.35,One Year,Credit Card,No Internet,Yes,Male,1,Yes,Yes,Yes,Yes,No,Yes,No,3,20
C00384,0,58,90.81,5877.4,Two Year,Mailed Check,DSL,No,Female,1,No,Yes,Yes,No,Yes,No,Yes,2,60
C00385,1,61,107.37,5608.48,Two Year,Credit Card,No Internet,Yes,Female,0,No,Yes,No,No,Yes,Yes,Yes,1,48
C00386,0,24,43.64,6045.84,Month-to-Month,Electronic Check,Fiber Optic,No,Female,0,No,Yes,No,No,Yes,No,Yes,3,64
C00387,0,20,44.44,3773.94,Month-to-Month,Credit Card,No Internet,No,Male,0,Yes,No,Yes,Yes,No,Yes,No,4,30
C00388,1,37,62.56,7005.95,Two Year,Credit Card,Fiber Optic,Yes,Female,1,Yes,Yes,Yes,No,Yes,No,Yes,2,73
C00389,1,4,108.55,1707.15,Two Year,Mailed Check,Fiber Optic,Yes,Male,0,No,Yes,No,Yes,No,No,Yes,5,17
C00390,1,20,44.21,1106.35,Month-to-Month,Mailed Check,DSL,Yes,Female,1,Yes,Yes,No,No,No,Yes,No,2,14
C00391,0,60,56.63,2355.52,Two Year,Bank Transfer,DSL,Yes,Female,0,No,No,Yes,No,No,No,Yes,1,19
C00392,0,24,100.23,4299.46,One Year,Bank Transfer,DSL,No,Female,1,Yes,No,Yes,Yes,Yes,Yes,No,2,71
C00393,1,50,20.26,4133.44,One Year,Mailed Check,Fiber Optic,Yes,Female,0,No,Yes,Yes,No,Yes,No,No,5,59
C00394,0,49,23.58,6582.73,One Year,Credit Card,No Internet,Yes,Female,1,No,Yes,No,No,No,No,Yes,4,67
C00395,1,51,74.37,3296.09,Two Year,Credit Card,Fiber Optic,Yes,Male,0,Yes,Yes,Yes,Yes,Yes,No,No,5,44
C00396,1,36,101.66,3926.32,Month-to-Month,Bank Transfer,DSL,Yes,Male,0,Yes,No,No,No,Yes,No,No,2,32
C00397,0,66,41.5,205.6,Two Year,Bank Transfer,DSL,Yes,Male,1,Yes,Yes,No,No,No,No,Yes,5,11
C00398,1,34,62.27,3336.94,Two Year,Bank Transfer,No Internet,No,Female,1,Yes,No,Yes,No,No,No,Yes,2,2
C00399,1,36,60.54,5217.42,Month-to-Month,Electronic Check,DSL,No,Female,0,No,Yes,Yes,No,Yes,No,Yes,4,68
C00400,0,6,62.57,222.52,Month-to-Month,Electronic Check,DSL,Yes,Male,1,No,No,No,Yes,No,Yes,Yes,4,17
C00401,1,39,76.03,2318.97,Month-to-Month,Bank Transfer,DSL,Yes,Female,0,Yes,No,Yes,No,Yes,Yes,No,1,81
C00402,0,42,62.28,1742.86,One Year,Credit Card,No Internet,No,Female,1,Yes,Yes,No,No,No,No,Yes,4,40
C00403,1,58,60.27,431.68,Two Year,Bank Transfer,Fiber Optic,Yes,Female,0,No,Yes,Yes,No,Yes,No,Yes,3,87
C00404,0,12,62.69,3886.15,Month-to-Month,Electronic Check,DSL,No,Male,1,Yes,Yes,Yes,No,Yes,No,Yes,5,46
C00405,1,3,73.18,1535.61,Two Year,Credit Card,No Internet,No,Male,0,Yes,Yes,Yes,No,No,Yes,No,5,88
